id_ability,name_a,region
234,intrepid-sword,8
235,dauntless-shield,8
236,libero,8
237,ball-fetch,8
238,cotton-down,8
239,propeller-tail,8
240,mirror-armor,8
241,gulp-missile,8
242,stalwart,8
243,steam-engine,8
244,punk-rock,8
245,sand-spit,8
246,ice-scales,8
247,ripen,8
248,ice-face,8
249,power-spot,8
250,mimicry,8
251,screen-cleaner,8
252,steely-spirit,8
253,perish-body,8
254,wandering-spirit,8
255,gorilla-tactics,8
256,neutralizing-gas,8
257,pastel-veil,8
258,hunger-switch,8
259,quick-draw,8
260,unseen-fist,8
261,curious-medicine,8
262,transistor,8
263,dragons-maw,8
264,chilling-neigh,8
265,grim-neigh,8
266,as-one-glastrier,8
267,as-one-spectrier,8
192,stamina,7
193,wimp-out,7
194,emergency-exit,7
195,water-compaction,7
196,merciless,7
197,shields-down,7
198,stakeout,7
199,water-bubble,7
200,steelworker,7
201,berserk,7
202,slush-rush,7
203,long-reach,7
204,liquid-voice,7
205,triage,7
206,galvanize,7
207,surge-surfer,7
208,schooling,7
209,disguise,7
210,battle-bond,7
211,power-construct,7
212,corrosion,7
213,comatose,7
214,queenly-majesty,7
215,innards-out,7
216,dancer,7
217,battery,7
218,fluffy,7
219,dazzling,7
220,soul-heart,7
221,tangling-hair,7
222,receiver,7
223,power-of-alchemy,7
224,beast-boost,7
225,rks-system,7
226,electric-surge,7
227,psychic-surge,7
228,misty-surge,7
229,grassy-surge,7
230,full-metal-body,7
231,shadow-shield,7
232,prism-armor,7
233,neuroforce,7
165,aroma-veil,6
166,flower-veil,6
167,cheek-pouch,6
168,protean,6
169,fur-coat,6
170,magician,6
171,bulletproof,6
172,competitive,6
173,strong-jaw,6
174,refrigerate,6
175,sweet-veil,6
176,stance-change,6
177,gale-wings,6
178,mega-launcher,6
179,grass-pelt,6
180,symbiosis,6
181,tough-claws,6
182,pixilate,6
183,gooey,6
184,aerilate,6
185,parental-bond,6
186,dark-aura,6
187,fairy-aura,6
188,aura-break,6
189,primordial-sea,6
190,desolate-land,6
191,delta-stream,6
124,pickpocket,5
125,sheer-force,5
126,contrary,5
127,unnerve,5
128,defiant,5
129,defeatist,5
130,cursed-body,5
131,healer,5
132,friend-guard,5
133,weak-armor,5
134,heavy-metal,5
135,light-metal,5
136,multiscale,5
137,toxic-boost,5
138,flare-boost,5
139,harvest,5
140,telepathy,5
141,moody,5
142,overcoat,5
143,poison-touch,5
144,regenerator,5
145,big-pecks,5
146,sand-rush,5
147,wonder-skin,5
148,analytic,5
149,illusion,5
150,imposter,5
151,infiltrator,5
152,mummy,5
153,moxie,5
154,justified,5
155,rattled,5
156,magic-bounce,5
157,sap-sipper,5
158,prankster,5
159,sand-force,5
160,iron-barbs,5
161,zen-mode,5
162,victory-star,5
163,turboblaze,5
164,teravolt,5
10001,mountaineer,5
10002,wave-rider,5
10003,skater,5
10004,thrust,5
10005,perception,5
10006,parry,5
10007,instinct,5
10008,dodge,5
10009,jagged-edge,5
10010,frostbite,5
10011,tenacity,5
10012,pride,5
10013,deep-sleep,5
10014,power-nap,5
10015,spirit,5
10016,warm-blanket,5
10017,gulp,5
10018,herbivore,5
10019,sandpit,5
10020,hot-blooded,5
10021,medic,5
10022,life-force,5
10023,lunchbox,5
10024,nurse,5
10025,melee,5
10026,sponge,5
10027,bodyguard,5
10028,hero,5
10029,last-bastion,5
10030,stealth,5
10031,vanguard,5
10032,nomad,5
10033,sequence,5
10034,grass-cloak,5
10035,celebrate,5
10036,lullaby,5
10037,calming,5
10038,daze,5
10039,frighten,5
10040,interference,5
10041,mood-maker,5
10042,confidence,5
10043,fortune,5
10044,bonanza,5
10045,explode,5
10046,omnipotent,5
10047,share,5
10048,black-hole,5
10049,shadow-dash,5
10050,sprint,5
10051,disgust,5
10052,high-rise,5
10053,climber,5
10054,flame-boost,5
10055,aqua-boost,5
10056,run-up,5
10057,conqueror,5
10058,shackle,5
10059,decoy,5
10060,shield,5
77,tangled-feet,4
78,motor-drive,4
79,rivalry,4
80,steadfast,4
81,snow-cloak,4
82,gluttony,4
83,anger-point,4
84,unburden,4
85,heatproof,4
86,simple,4
87,dry-skin,4
88,download,4
89,iron-fist,4
90,poison-heal,4
91,adaptability,4
92,skill-link,4
93,hydration,4
94,solar-power,4
95,quick-feet,4
96,normalize,4
97,sniper,4
98,magic-guard,4
99,no-guard,4
100,stall,4
101,technician,4
102,leaf-guard,4
103,klutz,4
104,mold-breaker,4
105,super-luck,4
106,aftermath,4
107,anticipation,4
108,forewarn,4
109,unaware,4
110,tinted-lens,4
111,filter,4
112,slow-start,4
113,scrappy,4
114,storm-drain,4
115,ice-body,4
116,solid-rock,4
117,snow-warning,4
118,honey-gather,4
119,frisk,4
120,reckless,4
121,multitype,4
122,flower-gift,4
123,bad-dreams,4
1,stench,3
2,drizzle,3
3,speed-boost,3
4,battle-armor,3
5,sturdy,3
6,damp,3
7,limber,3
8,sand-veil,3
9,static,3
10,volt-absorb,3
11,water-absorb,3
12,oblivious,3
13,cloud-nine,3
14,compound-eyes,3
15,insomnia,3
16,color-change,3
17,immunity,3
18,flash-fire,3
19,shield-dust,3
20,own-tempo,3
21,suction-cups,3
22,intimidate,3
23,shadow-tag,3
24,rough-skin,3
25,wonder-guard,3
26,levitate,3
27,effect-spore,3
28,synchronize,3
29,clear-body,3
30,natural-cure,3
31,lightning-rod,3
32,serene-grace,3
33,swift-swim,3
34,chlorophyll,3
35,illuminate,3
36,trace,3
37,huge-power,3
38,poison-point,3
39,inner-focus,3
40,magma-armor,3
41,water-veil,3
42,magnet-pull,3
43,soundproof,3
44,rain-dish,3
45,sand-stream,3
46,pressure,3
47,thick-fat,3
48,early-bird,3
49,flame-body,3
50,run-away,3
51,keen-eye,3
52,hyper-cutter,3
53,pickup,3
54,truant,3
55,hustle,3
56,cute-charm,3
57,plus,3
58,minus,3
59,forecast,3
60,sticky-hold,3
61,shed-skin,3
62,guts,3
63,marvel-scale,3
64,liquid-ooze,3
65,overgrow,3
66,blaze,3
67,torrent,3
68,swarm,3
69,rock-head,3
70,drought,3
71,arena-trap,3
72,vital-spirit,3
73,white-smoke,3
74,pure-power,3
75,shell-armor,3
76,air-lock,3